Beta0,Beta1,Beta2,Beta3,Beta4,Beta5,Beta6
2.09437253,-1.859105905,0.314080781,-0.864040201,-0.332952428,-4.044862362,1.33620844
0.739387528,-2.063126337,2.591092605,-1.352268476,0.280953319,-2.018859362,2.639369379
0.376212604,-0.869664474,0.030576911,-1.371188714,0.180095592,1.09707749,-1.172388601
0.997556757,-0.937703367,0.315566217,-1.150929454,-0.301668108,-1.643809314,2.180328577
0.510432569,-1.551464057,1.004160233,-0.781594145,-0.017295059,1.203436167,-1.529516349
1.020516416,-0.391150427,0.780479609,-1.979310133,-0.333949144,-0.813580693,1.222287008
0.286980088,-1.73559651,2.124872882,-1.377696105,0.053220025,1.926035403,-2.087197484
0.625482,-0.688836612,3.975840682,-1.144532633,-0.175440373,-1.331776772,1.762086246
0.624475627,-2.456426886,2.996245839,-1.49830047,0.308835442,-2.054536003,2.638523089
0.69833635,-0.409980583,1.07808185,-0.7822662,-0.219600903,-0.325052313,0.318139125
0.974626902,-1.027732795,2.223754798,-1.862431344,-0.091421437,-1.687994144,2.502319761
0.634706242,-0.716538171,0.108885966,-0.883775154,0.760602738,-2.73213451,3.926315895
0.612461743,-1.422106065,2.61132143,-0.957590488,0.188656601,-0.768762809,0.553500646
0.878755728,-1.52061595,2.09412395,-1.660369031,0.39333942,-2.985077922,3.428417751
1.23022895,-1.691915648,0.638648883,-1.428659966,-0.327540248,-0.451606638,-0.064656153
0.021684284,-1.686061718,2.336998175,-0.664206801,0.262439971,2.055125253,-2.057526891
0.400705562,-1.732689893,1.243932232,-1.643072864,-0.188880402,2.197087331,-2.131189985
0.156788762,-0.562504921,2.670124755,-1.489401346,0.413479372,1.562319494,-1.568929215
0.568919316,-2.346787927,3.680238177,-1.087100176,-0.033079982,-1.032210154,1.267555013
-0.071379971,-1.35103992,2.181934229,-0.557404434,0.372449749,2.50771186,-2.746360162
0.737015193,-1.943736848,3.36965369,-0.864185086,0.115785372,-1.537173183,1.480332106
1.155030706,-1.474895131,1.988727437,-1.558338085,-0.349359903,-2.32789628,2.534566804
